pretax_income,tax,after_tax_income
213000.0,64573.0,148427.0
214000.0,64946.0,149054.0
215000.0,65320.0,149680.0
216000.0,65693.0,150307.0
217000.0,66066.0,150934.0
218000.0,66440.0,151560.0
219000.0,66813.0,152187.0
220000.0,67186.0,152814.0
221000.0,67560.0,153440.0
222000.0,67933.0,154067.0
223000.0,68306.0,154694.0
224000.0,68680.0,155320.0
225000.0,69053.0,155947.0
226000.0,69427.0,156573.0
227000.0,69800.0,157200.0
228000.0,70173.0,157827.0
229000.0,70547.0,158453.0
230000.0,70920.0,159080.0
231000.0,71293.0,159707.0
232000.0,71667.0,160333.0
233000.0,72040.0,160960.0
234000.0,72413.0,161587.0
235000.0,72787.0,162213.0
236000.0,73160.0,162840.0
237000.0,73533.0,163467.0
238000.0,73907.0,164093.0
239000.0,74280.0,164720.0
240000.0,74654.0,165346.0
241000.0,75027.0,165973.0
242000.0,75400.0,166600.0
243000.0,75774.0,167226.0
244000.0,76147.0,167853.0
245000.0,76520.0,168480.0
246000.0,76894.0,169106.0
247000.0,77267.0,169733.0
248000.0,77640.0,170360.0
249000.0,78014.0,170986.0
250000.0,78387.0,171613.0
251000.0,78761.0,172239.0
252000.0,79134.0,172866.0
253000.0,79507.0,173493.0
254000.0,79881.0,174119.0
255000.0,80254.0,174746.0
256000.0,80627.0,175373.0
257000.0,81001.0,175999.0
258000.0,81374.0,176626.0
259000.0,81747.0,177253.0
260000.0,82121.0,177879.0
261000.0,82494.0,178506.0
262000.0,82868.0,179132.0
263000.0,83241.0,179759.0
264000.0,83614.0,180386.0
265000.0,83988.0,181012.0
266000.0,84361.0,181639.0
267000.0,84734.0,182266.0
268000.0,85108.0,182892.0
269000.0,85484.0,183516.0
270000.0,85868.0,184132.0
271000.0,86252.0,184748.0
272000.0,86636.0,185364.0
273000.0,87020.0,185980.0
274000.0,87404.0,186596.0
275000.0,87788.0,187212.0
276000.0,88172.0,187828.0
277000.0,88557.0,188443.0
278000.0,88941.0,189059.0
279000.0,89325.0,189675.0
280000.0,89709.0,190291.0
281000.0,90093.0,190907.0
282000.0,90477.0,191523.0
283000.0,90861.0,192139.0
284000.0,91245.0,192755.0
285000.0,91629.0,193371.0
286000.0,92013.0,193987.0
287000.0,92397.0,194603.0
288000.0,92781.0,195219.0
289000.0,93165.0,195835.0
290000.0,93549.0,196451.0
291000.0,93933.0,197067.0
292000.0,94317.0,197683.0
293000.0,94701.0,198299.0
294000.0,95085.0,198915.0
295000.0,95469.0,199531.0
296000.0,95853.0,200147.0
297000.0,96237.0,200763.0
298000.0,96621.0,201379.0
299000.0,97005.0,201995.0
300000.0,97389.0,202611.0
301000.0,97773.0,203227.0
302000.0,98157.0,203843.0
303000.0,98541.0,204459.0
304000.0,98925.0,205075.0
